model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_class,14998,20,1,True,0.95,15min,5,True,0.42
lstm_class,14998,20,1,True,0.95,15min,5,True,0.52
lstm_class,14998,20,1,False,0.95,15min,3,True,0.53
lstm_class,14998,20,1,True,0.95,15min,10,True,0.45
lstm_class,14998,20,1,True,0.95,15min,10,False,0.48
lstm_class,14998,20,1,True,0.95,,5,True,0.53
lstm_class,14998,20,1,True,0.95,15min,3,False,0.46
lstm_class,14998,20,1,False,0.95,,5,False,0.46
lstm_class,14998,20,1,False,0.95,,10,False,0.42
lstm_class,14998,20,1,False,0.95,,1,False,0.63
lstm_class,14998,20,1,False,0.95,,1,False,0.55
lstm_class,14998,20,1,False,0.95,,1,False,0.54
lstm_class,14998,20,1,False,0.95,,1,False,0.56
lstm_class,14998,20,1,False,0.95,,15,False,0.48
lstm_class,14998,20,1,False,0.95,,1,False,0.55
lstm_class,14998,20,1,False,0.95,,1,False,0.49
lstm_class,14998,20,1,False,0.95,,1,False,0.57
lstm_class,14998,20,1,False,0.95,,15,False,0.52
lstm_class,14998,20,1,False,0.95,,1,False,0.56
lstm_class,14998,20,1,False,0.95,,1,False,0.57
lstm_class,14998,20,1,False,0.95,,1,False,0.55
lstm_class,14998,20,1,False,0.95,,1,False,0.51
lstm_class,14998,20,1,False,0.95,,1,False,0.54
lstm_class,14998,20,1,False,0.95,,1,False,0.53
lstm_class,14998,20,1,False,0.95,,3,False,0.5
lstm_class,14998,20,1,False,0.95,,1,False,0.46
lstm_class,14998,20,1,False,0.95,,15,True,0.39
lstm_class,14998,20,1,False,0.95,,1,False,0.6
lstm_class,14998,20,1,False,0.95,,1,False,0.57
lstm_class,14998,20,1,True,0.95,15min,1,True,0.39
lstm_class,14998,20,1,False,0.95,,3,False,0.59
lstm_class,14998,20,1,False,0.95,,3,False,0.6
lstm_class,14998,20,1,False,0.95,,3,False,0.61
lstm_class,14998,20,1,False,0.95,,3,False,0.51
lstm_class,14998,20,1,True,0.95,15min,3,True,0.44
lstm_class,14998,20,1,False,0.95,15min,3,False,0.57
lstm_class,14998,20,1,True,0.95,,3,True,0.48
lstm_class,14998,20,1,False,0.95,15min,5,False,0.39
lstm_class,14998,20,1,True,0.95,,10,True,0.48
lstm_class,14998,20,1,False,0.95,,3,False,0.58
lstm_class,14998,20,1,False,0.95,15min,3,False,0.52
lstm_class,14998,20,1,False,0.95,,3,False,0.61
lstm_class,14998,20,1,False,0.95,,3,False,0.52
lstm_class,14998,20,1,False,0.95,,3,False,0.4
lstm_class,14998,20,1,False,0.95,,5,False,0.43
lstm_class,14998,20,1,False,0.95,,10,False,0.41
lstm_class,14998,20,1,True,0.95,,3,False,0.47
lstm_class,14998,20,1,False,0.95,,3,False,0.54
lstm_class,14998,20,1,False,0.95,,15,False,0.4
lstm_class,14998,20,1,False,0.95,,5,False,0.49
